
 R=500.0 	I=0.426 	U=286.9
 R=300.0 	I=1.042 	U=187.3
 R=100.0 	I=3.124 	U=187.7
 R=70.0 	I=4.526 	U=182.9
 R=50.0 	I=6.410 	U=179.4
 R=30.0 	I=10.844 	U=174.6
 R=10.0 	I=33.549 	U=164.8
 R=7.0 		I=48.103 	U=163.3
 R=5.0 		I=67.586 	U=161.9
 R=3.0 		I=110.940 	U=167.2
 R=3.0 		I=110.946 	U=167.2
 R=1.0 		I=284.214 	U=216.1
 R=0.7 		I=365.134 	U=244.4
 R=0.5 		I=455.773 	U=272.2
 R=0.3 		I=594.012 	U=321.5
 R=0.1 		I=776.217 	U=422.6
