0  0.
10 -0.4785
20  0.3932
30   0.623
40  0.7015
50   0.725
60  0.7245
70  0.7126
80  0.6951
90  0.6752
100  0.6543
110  0.6333
120  0.6127
130  0.5928
140  0.5738
150  0.5555
160  0.5382
170  0.5217
180  0.5061
190  0.4912
200  0.4772
210  0.4638
220  0.4511
230  0.4391
240  0.4276
250  0.4167
260  0.4063
270  0.3963
280  0.3869
290  0.3778
300  0.3692
310  0.3609
320   0.353
330  0.3454
340  0.3382
350  0.3312
360  0.3245
370   0.318
380  0.3119
390  0.3059
400  0.3001
410  0.2946
420  0.2893
430  0.2841
440  0.2792
450  0.2744
460  0.2697
470  0.2652
480  0.2609
490  0.2567
500  0.2526
-1
