0  5.
10  3.162
20  1.581
30  1.054
40  0.7906
50  0.6325
60  0.527
70  0.4518
80  0.3953
90  0.3514
100  0.3162
110  0.2875
120  0.2635
130  0.2433
140  0.2259
150  0.2108
160  0.1976
170   0.186
180  0.1757
190  0.1664
200  0.1581
210  0.1506
220  0.1437
230  0.1375
240  0.1318
250  0.1265
260  0.1216
270  0.1171
280  0.1129
290   0.109
300  0.1054
310   0.102
320 0.09882
330 0.09583
340 0.09301
350 0.09035
360 0.08784
370 0.08547
380 0.08322
390 0.08108
400 0.07906
410 0.07713
420 0.07529
430 0.07354
440 0.07187
450 0.07027
460 0.06875
470 0.06728
480 0.06588
490 0.06454
500 0.06325
-1
